,Municipio,Departamento,Entidad,País,Fundación,Erección,Superficie (km²),Altitud Media (m.s.n.m),Población Total (hab),Pobl. Urbana (hab),Densidad (hab/km²),Coordenadas,Clima,Gentilicio,Alcalde,Código Postal,Huso horario
982,Murillo,Tolima,Municipio,Colombia,1872-10-24 00:00:00,1985-12-05 00:00:00,417.29,2950.0,5029.0,1493.0,12.05,4°52′25″N  75°10′14″O,,Murilluno,José Antonio García Rodríguez,731060,UTC  -5
983,El Cocuy,Boyacá,Municipio,Colombia,1541-02-28 00:00:00,1751-10-19 00:00:00,253.0,2750.0,5241.0,2765.0,20.72,6°24′34″N  72°26′40″O,,"Cocuyano, -a",Tomás Ruíz Silva,151280,UTC  -5
984,Molagavita,Santander,Municipio,Colombia,1709-03-15 00:00:00,,197.0,2196.0,5193.0,773.0,,6°40′25″N  72°48′33″O,,Molagaviténse,Jesús Alexis Barajas Barajas,682031,UTC  -5
985,Onzaga,Santander,Municipio,Colombia,1602-03-31 00:00:00,1875-01-14 00:00:00,486.76,1953.0,5003.0,1233.0,10.49,6°20′39″N  72°49′03″O,,"Onzagueño, -a",Johana Grimaldos Barón,682519,UTC  -5
986,Gámbita,Santander,Municipio,Colombia,1780,1970-12-31 00:00:00,606.7,1469.0,5044.0,390.0,,5°56′47″N  73°20′38″O,,"Gambitero, -a",AIDUBBY JULIANA MATEUS ESPITIA,683031,UTC  -5
987,Suratá,Santander,Municipio,Colombia,1728-08-20 00:00:00,1887-09-30 00:00:00,348.0,1740.0,3295.0,688.0,12.62,7°22′01″N  72°59′03″O,,"Surateño, -a",Ana Francisca Coronado,680501,UTC  -5
988,Carolina del Príncipe,Antioquia,Municipio,Colombia,1787-01-01 00:00:00,1814,166.0,1700.0,3954.0,2929.0,,6°43′22″N  75°16′57″O,,Carolinitas,Carlos Andrés Pérez Vásquez,51840,UTC  -5
989,El Dorado,Meta,Municipio,Colombia,1963-12-07 00:00:00,1992-11-04 00:00:00,115.0,550.0,3429.0,1471.0,,3°44′21″N  73°50′07″O,,"Doradino, -a",Oscar Olaya López,506021,UTC  -5
990,La Pedrera,Amazonas,Área no municipalizada,Colombia,1935,,13.0,100.0,3781.0,4985.0,,1°19′43″S  69°34′47″O,,,Martha Cecilia Astudillo,917010,UTC  -5
991,Tarapacá,Amazonas,Área no municipalizada,Colombia,1909,1988,1443.0,80.0,4195.0,3950.0,1.67,2°52′44″S  69°44′38″O,,,Lucas Ochavano,911030,UTC  -5
992,Manta,Cundinamarca,Municipio,Colombia,1593,1772-07-24 00:00:00,105.0,1924.0,4719.0,1285.0,44.94,5°00′29″N  73°32′25″O,,"Mantuno, -a",Guillermo Arturo Robayo Piñeros,250830,UTC  -5
993,Jericó,Boyacá,Municipio,Colombia,1780-06-06 00:00:00,1821-10-28 00:00:00,179.0,3100.0,4010.0,639.0,,6°08′45″N  72°34′15″O,,Jericoense,Mayerly Báez Merchan,150840,UTC  -5
