,Municipio,Departamento,Entidad,País,Fundación,Erección,Superficie (km²),Altitud Media (m.s.n.m),Población Total (hab),Pobl. Urbana (hab),Densidad (hab/km²),Coordenadas,Clima,Gentilicio,Alcalde,Código Postal,Huso horario
0,Bogotá,Cundinamarca,Capital de Colombia,Colombia,1538-08-06 00:00:00,1548-12-03 00:00:00,1775.0,2640.0,7743955.0,7412566.0,4907.45,4°36′46″N 74°04′14″O,Oceánico mediterráneo  Csb,"Bogotano, -na",Claudia López,110111,UTC-5
1,Medellín,Antioquia,Distrito,Colombia,1616-03-02 00:00:00,1813-08-21 00:00:00,382.0,1495.0,2533424.0,2501470.0,6643.39,6°14′41″N  75°34′29″O,Tropical monzónico  Am   Subtropical húmedo  Cfa  22 °C (promedio),Medellinense,Daniel Quintero Calle,50035,UTC  -5
2,Cali Santiago de Cali,Valle del Cauca,Distrito,Colombia,1536-07-25 00:00:00,1559-06-17 00:00:00,564.0,1018.0,2445281.0,2408653.0,4382.05,3°26′24″N 76°31′11″O,Tropical seco  As,"Caleño, -ña",Jorge Iván Ospina,760036,UTC  -5
3,Barranquilla,Atlántico,Distrito,Colombia,1627,1813-04-07 00:00:00,154.0,18.0,2274250.0,2273646.0,8274.35,10°57′50″N  74°47′47″O,Tropical seco Aw,"Barranquillero, ra",Jaime Pumarejo Heins,80001,UTC-5
4,Cartagena de Indias,Bolívar,Distrito,Colombia,1533-06-01 00:00:00,1533,609.1,2.0,1028736.0,914552.0,1811.91,10°25′25″N 75°31′31″O,Semiárido cálido  BSh,"Cartagenero, -a",William Dau Chamat,130010,UTC-5
5,Cúcuta,Norte de Santander,Municipio,Colombia,1733-06-17 00:00:00,1734-11-20 00:00:00,1119.0,320.0,777106.0,748948.0,637.76,7°54′27″N 72°30′17″O,Semiárido cálido  BSh,"Cucuteño, -ña",Jairo Tomás Yáñez Rodríguez,540001,UTC  -5
6,Soacha,Cundinamarca,Municipio,Colombia,1600,1875,184.45,2565.0,660179.0,655025.0,5409.07,4°34′41″N  74°12′52″O,Oceánico mediterráneo  Csb,"Suachuno, -a",Juan Carlos Saldarriaga,250051,UTC −5
7,Soledad,Atlántico,Municipio,Colombia,1598-03-08 00:00:00,1824,67.0,5.0,666109.0,665535.0,6802.93,10°54′35″N  74°47′09″O,Tropical seco  Aw,"Soledeño, -a",Rodolfo Ucros Rosales,83001,UTC  -5
8,Bucaramanga,Santander,Municipio,Colombia,1622-12-22 00:00:00,1857,162.0,959.0,612274.0,599106.0,3587.22,7°07′07″N  73°06′58″O,Tropical seco  As,Bumangués -a,Juan Carlos Cárdenas Rey,680001,UTC  -5
9,Bello,Antioquia,Municipio,Colombia,1676,1913,149.0,1310.0,522264.0,495483.0,2610.22,6°19′55″N  75°33′29″O,Tropical monzónico  Am,Bellanita(o),Oscar Andrés Pérez Muñoz,51050,UTC  -5
10,Villavicencio,Meta,Municipio,Colombia,1840-04-06 00:00:00,1909,1338.0,467.0,552010.0,547983.0,397.34,4°08′33″N  73°37′46″O,Tropical monzónico  Am,Villavicense,Felipe Harman,500001,UTC  -5
11,Ibagué,Tolima,Municipio,Colombia,1550-10-14 00:00:00,1606,1439.0,1285.0,541101.0,501991.0,361.22,4°26′16″N  75°12′02″O,Tropical monzónico  Am,"Ibaguereño, -ña",Andrés Fabián Hurtado,730001,UTC  -5
12,Santa Marta,Magdalena,Distrito,Colombia,1525-07-29 00:00:00,1525,2393.35,15.0,538612.0,484025.0,1755.68,11°14′10″N  74°12′06″O,Semiárido cálido  BSh,"Samario, -a",Virna Johnson,470001,UTC  -5
13,Valledupar,Cesar,Municipio,Colombia,1550-01-06 00:00:00,,4977.0,180.0,544134.0,,109.33,10°27′37″N  73°15′35″O,,Valduparense,Mello Castro González,200001,Horario del este de Norteamérica
14,Montería,Córdoba,Municipio,Colombia,1777-05-01 00:00:00,1923,3141.0,18.0,505334.0,395184.0,160.88,8°45′36″N  75°53′08″O,Tropical seco  Aw,"Monteriano, -a",Carlos Ordosgoitia Sanin,230001,UTC  -5
15,Pereira,Risaralda,Municipio,Colombia,1863-08-30 00:00:00,,702.0,1411.0,477027.0,399283.0,841.25,4°48′51″N  75°41′40″O,Tropical monzónico  Am Oceánico mediterráneo  Csb,"Pereirano, -a",Carlos Alberto Maya López,660001,UTC  -5
16,Manizales,Caldas,Municipio,Colombia,1849-10-12 00:00:00,,571.84,2200.0,434403.0,405234.0,759.66,5°03′58″N  75°29′05″O,Oceánico mediterráneo  Csb  17°C promedio.,"Manizaleño,-a",Carlos Mario Marín Correa,854010,UTC  -5
17,Pasto San Juan de Pasto,Nariño,Municipio,Colombia,1537-06-24 00:00:00,1537,1181.0,2527.0,460638.0,386598.0,390.04,1°12′36″N  77°16′29″O,Oceánico mediterráneo  Csb  14 °C (promedio),"Pastuso, -a Pastense",Germán Chamorro de la Rosa,520017,UTC  -5
18,Neiva,Huila,Municipio,Colombia,1612-05-24 00:00:00,,1553.0,442.0,367401.0,343194.0,227.32,2°55′39″N  75°17′15″O,Tropical seco  As,"Neivano, -a",Gorky Muñoz Calderon,410001,UTC  -5
19,Palmira,Valle del Cauca,Municipio,Colombia,1680,1824,1123.0,1001.0,310608.0,249096.0,311.04,3°32′05″N  76°17′44″O,Tropical seco  As,"Palmirano, -a, Palmireño -a",Óscar Eduardo Escobar García,763531,UTC  -5
20,Popayán,Cauca,Municipio,Colombia,1537-01-13 00:00:00,1537,512.0,1760.0,318059.0,254966.0,587.57,2°26′28″N 76°36′22″O,Oceánico mediterráneo  Csb,"payanés/payanesa,  patojo/patoja, popayanejo/popayaneja",Juan Carlos López Castrillón,190001,UTC  -5
21,Buenaventura,Valle del Cauca,Distrito,Colombia,1540-07-14 00:00:00,,6078.0,7.0,308188.0,235064.0,69.75,3°52′38″N  77°01′36″O,Ecuatorial  Af,"Bonaverense, Porteño(a)",Víctor Hugo Vidal,764501,UTC  -5
22,Floridablanca,Santander,Municipio,Colombia,1817-11-07 00:00:00,1858-01-08 00:00:00,97.0,925.0,316200.0,316922.0,2754.33,7°04′11″N  73°05′52″O,Tropical seco  As,"Florideño, -a",Miguel Moreno,763560,UTC  -5
23,Armenia,Quindío,Municipio,Colombia,1889-10-14 00:00:00,1903,650.0,1551.0,304314.0,296259.0,2151.61,4°32′20″N  75°40′21″O,Oceánico mediterráneo  Csb Tropical monzónico  Am,"Cuyabro Armenio, -a",José Manuel Ríos Morales,630001,UTC  -5
24,Sincelejo,Sucre,Municipio,Colombia,1776-11-21 00:00:00,1897,284.4,213.0,286716.0,269267.0,1042.6,9°17′58″N  75°23′45″O,Tropical seco  Aw,"Sincelejano, -a",Andrés Gómez Martínez,700001,UTC  -5
25,Itagüí,Antioquia,Municipio,Colombia,1743,1832-03-20 00:00:00,21.09,1550.0,276744.0,247918.0,11.0,6°10′21″N  75°36′35″O,Tropical monzónico  Am,"Itagüiseño, -a",José Fernando Escobar Estrada,0,UTC  -5
26,Tumaco San Andrés de Tumaco,Nariño,Municipio,Colombia,1640-11-30 00:00:00,1861,3760.0,1.0,257052.0,170438.0,56.57,1°48′24″N  78°45′53″O,Ecuatorial  Af,Tumaqueño/a,María Emilsen Angulo Guevara,528501,UTC  -5
27,Envigado,Antioquia,Municipio,Colombia,1775-07-14 00:00:00,1814,78.78,1575.0,228848.0,215766.0,2904.9,6°10′19″N  75°34′49″O,Tropical monzónico  Am,"Envigadeño, -ña",Braulio Alonso Espinosa Márquez,55420,UTC-5
28,Dosquebradas,Risaralda,Municipio,Colombia,1844,1972-12-06 00:00:00,70.8,1460.0,204737.0,196352.0,2532.5,4°50′10″N  75°40′34″O,Tropical monzónico  Am,"Dosquebradenses Biquebradino, -a",Jorge Diego Ramos Castaño,661001,UTC  -5
29,Tuluá,Valle del Cauca,Municipio,Colombia,1639-08-24 00:00:00,1825-05-30 00:00:00,910.55,966.0,218812.0,178030.0,240.67,4°05′05″N  76°11′55″O,Tropical seco  As,"Tulueño, -a",John Jairo Gómez Aguirre,763021,UTC  -5
30,Barrancabermeja,Santander,Distrito,Colombia,1536-10-12 00:00:00,1922-04-26 00:00:00,1154.0,75.0,210729.0,183730.0,165.41,7°04′03″N  73°50′50″O,Tropical monzónico  Am,"Barranqueño, -a",Alfonso Eljach Manrique,687031,UTC  -5
31,Riohacha,La Guajira,Distrito,Colombia,1545-09-14 00:00:00,,3084.0,5.0,287009.0,244836.0,33.44,11°32′39″N  72°54′25″O,Árido cálido  BWh,"Riohachero, -a",José Ramiro Bermúdez Cotes,440001,UTC  -5
32,Uribia,La Guajira,Municipio,Colombia,1935-03-01 00:00:00,1961-03-19 00:00:00,8200.0,10.0,186532.0,13389.0,14.89,11°42′50″N  72°15′57″O,Árido cálido  BWh,"Uribiero, -a",Bonifacio Henríquez Palmar,441020,UTC  -5
33,Maicao,La Guajira,Municipio,Colombia,1926-06-29 00:00:00,,1825.0,52.0,162118.0,111150.0,69.45,11°22′40″N  72°14′29″O,,"Maicaero, -a",Mohamad  Jaafar Dasuki Haaj,442001,UTC  -5
34,Piedecuesta,Santander,Municipio,Colombia,1774-10-17 00:00:00,1824-06-23 00:00:00,344.0,1005.0,186167.0,186223.0,308.85,6°59′19″N  73°03′01″O,Tropical seco  As,"Piedecuestano, -a",Mario José Carvajal Jaimes,681011,UTC  -5
35,Tunja,Boyacá,Municipio,Colombia,1539-08-06 00:00:00,,121.49,2822.0,180568.0,172804.0,1773.42,5°32′25″N  73°21′41″O,Oceánico mediterráneo  Csb  13 °C (promedio),"Tunjano, -na",Luis Alejandro Fúneme González,150001,UTC  -5
36,Yopal,Casanare,Municipio,Colombia,1915-02-22 00:00:00,1942-07-08 00:00:00,2771.0,390.0,179355.0,154177.0,64.72,5°19′50″N  72°23′26″O,Tropical monzónico  Am,"Yopaleño, -a",Luis Eduardo Castro,850001,UTC  -5
37,Florencia,Caquetá,Municipio,Colombia,1902-12-25 00:00:00,1912-06-17 00:00:00,2292.0,242.0,173011.0,157038.0,75.4,1°36′51″N  75°36′42″O,Ecuatorial  Af  26 °C,"Florenciano, -a; Florentino, -a",Luis Antonio Ruiz Cicery,195040,UTC  -5
38,San Juan Girón,Santander,Municipio,Colombia,1631-01-15 00:00:00,1857,475.14,777.0,173841.0,154580.0,337.59,7°04′23″N  73°10′05″O,,Gironés,Claudia Milena Jaimes,687541,UTC  -5
39,Jamundí,Valle del Cauca,Municipio,Colombia,1536-03-23 00:00:00,,137.0,869.0,124586.0,84976.0,168.1,3°15′39″N  76°32′22″O,Tropical seco  As,"jamundeño, -a",Andrés Felipe Ramírez   2020 - 2023,764001,UTC  -5
40,Facatativá,Cundinamarca,Municipio,Colombia,1600-07-03 00:00:00,,158.0,2586.0,136950.0,123931.0,741.35,4°48′53″N  74°21′19″O,Oceánico mediterráneo  Csb,"Facatativeño, -a",Guillermo Aldana Dimas,253051,UTC  -5
41,Fusagasugá,Cundinamarca,Municipio,Colombia,1592-02-05 00:00:00,,239.0,1765.0,147631.0,112616.0,584.96,4°20′14″N  74°21′52″O,Oceánico mediterráneo  Csb,"fusagasugueño, -a",Jhon Jairo Hortúa Villalba,252211,UTC  -5
42,Mosquera,Cundinamarca,Municipio,Colombia,1861-09-27 00:00:00,,107.0,2516.0,82750.0,79316.0,853.1,4°42′28″N  74°13′58″O,,"Mosqueruno, -a",Gian Carlo Gerometta,527580,UTC  -5
43,Chía,Cundinamarca,Municipio,Colombia,1537-03-24 00:00:00,,79.0,2654.0,145752.0,104214.0,1223.7,4°51′48″N  74°03′10″O,Ecuatorial de montaña Csb,"•Chiano, -na 
•Chiense 
 
•Chio",Luis Carlos Segura.,250001,UTC  -5
44,Zipaquirá,Cundinamarca,Municipio,Colombia,1600-07-18 00:00:00,1638-10-05 00:00:00,197.0,2650.0,126409.0,111025.0,1012.42,5°01′29″N  74°00′05″O,Oceánico mediterráneo  Csb,"Zipaquireño, -a",Wilson García Fajardo,250251,UTC  -5
45,Rionegro Ciudad Santiago de Arma de Rionegro ​,Antioquia,Municipio,Colombia,1542-12-06 00:00:00,,196.0,2130.0,135465.0,83007.0,583.16,6°09′12″N  75°22′27″O,Oceánico mediterráneo  Csb,"Rionegrero, -a",Rodrigo Hernández Alzate,861060,UTC-5
46,Magangué,Bolívar,Municipio,Colombia,1610-04-10 00:00:00,1813-02-13 00:00:00,1568.0,49.0,128003.0,88193.0,79.02,9°14′48″N  74°45′34″O,"Tropical seco  Aw , 37 °C (promedio)",Magangueleño(a) o Magueño(a),Carlos Emil Cabrales Isaac,132511,UTC −5
47,Malambo,Atlántico,Municipio,Colombia,1531-08-30 00:00:00,1856-10-23 00:00:00,108.0,10.0,125245.0,118070.0,917.2,10°51′37″N  74°46′44″O,Tropical seco  Aw,"Malambero, -a",Rummenige Monsalve Alvarez,83020,UTC  -5
48,Cartago,Valle del Cauca,Municipio,Colombia,1540-08-09 00:00:00,1916,279.0,917.0,134963.0,133087.0,483.77,4°44′49″N  75°54′43″O,Tropical seco  As,"Cartagüeño, -a",Víctor Alfonso Álvarez Mejía,762021,UTC  -5
49,Sogamoso,Boyacá,Municipio,Colombia,Anterior a la Conquista,1810-09-06 00:00:00,208.54,2569.0,132059.0,117592.0,627.3,5°42′57″N  72°56′00″O,Oceánico mediterráneo  Csb,"Sogamoseño, -a",Rigoberto Alfonso Pérez,152210,UTC  -5
50,Quibdó,Chocó,Municipio,Colombia,1664-07-01 00:00:00,1823-05-30 00:00:00,3337.5,43.0,116087.0,108622.0,39.2,5°41′32″N  76°39′29″O,Ecuatorial  Af,"Quibdoseño, -a",Martín Sánchez Valencia,270001,UTC  -5
51,Turbo,Antioquia,Distrito,Colombia,1840-08-28 00:00:00,1847,3055.0,2.0,124552.0,48787.0,59.25,8°05′35″N  76°43′42″O,Ecuatorial  Af,"Turbeño, -a",Andrés Felipe Maturana,57860,UTC  -5
52,Ocaña,Norte de Santander,Municipio,Colombia,1570-12-14 00:00:00,1849,672.27,1202.0,129308.0,116232.0,133.93,8°14′46″N  73°21′19″O,,"Ocañero, -a",Samir Fernando Casadiego Sanjuán,546551,UTC -5
53,Buga,Valle del Cauca,Municipio,Colombia,1573-03-04 00:00:00,1811,832.0,969.0,114807.0,98910.0,140.5,3°54′13″N  76°17′55″O,Tropical seco  As,"Bugueño, -a",Julián Rojas,0,UTC  -5
54,Pitalito San Antonio de Laboyos,Huila,Municipio,Colombia,1818-06-13 00:00:00,1820,653.0,1318.0,128630.0,75434.0,200.01,1°51′14″N  76°03′05″O,Tropical monzónico  Am,"Laboyano, -a",Edgar Muñoz Torres,735530,UTC  -5
55,Apartadó,Antioquia,Municipio,Colombia,1907,1967-10-30 00:00:00,607.0,30.0,121003.0,98454.0,216.48,7°53′05″N  76°38′06″O,Tropical monzónico  Am,"Apartadosence Apartadoseño, -a",Felipe Benicio Cañizalez Palacios,57840,UTC  -5
56,Madrid,Cundinamarca,Municipio,Colombia,1559-06-07 00:00:00,,121.0,2554.0,127138.0,120823.0,927.72,4°43′50″N  74°15′50″O,,Madrileño-a,Andrés Tovar Forero,250030,UTC  -5
57,Duitama,Boyacá,Municipio,Colombia,1539-10-11 00:00:00,1819-07-27 00:00:00,266.93,2530.0,126670.0,112308.0,474.54,5°49′19″N  73°01′47″O,Oceánico mediterráneo  Csb,Duitamense,Diana Patricia Monsalve,150461,UTC  -5
58,Ciénaga,Magdalena,Municipio,Colombia,1521,1817,1242.68,3.0,129414.0,129414.0,71.42,11°00′24″N  74°14′48″O,,"Cienaguero, -a",Mundo Obispo Ciénaga,478001,UTC  -5
59,Aguachica,Cesar,Municipio,Colombia,1748-08-16 00:00:00,1914,976.26,162.0,120000.0,108999.0,112.29,8°18′24″N  73°36′55″O,,Aguachiquense,Robinson Manosalva Saldaña,205010,UTC  -5
60,Ipiales,Nariño,Municipio,Colombia,"Los/indígenas/Pastos,/en/época",1832,1707.0,2898.0,148297.0,109080.0,63.92,0°49′44″N  77°38′26″O,Templado húmedo de montaña  Cfbi,"Ipialeño, -a",Luis Fernando Villota Méndez,524060,UTC  -5
61,Santa Cruz de Lorica,Córdoba,Municipio,Colombia,1740-05-03 00:00:00,,1033.0,7.0,115461.0,54430.0,114.91,9°14′19″N  75°48′50″O,Tropical seco  Aw,"Loriquero, -a",Jorge Isaac Negrete López,231020,UTC  -5
62,Turbaco,Bolívar,Municipio,Colombia,1510-12-08 00:00:00,,176.0,200.0,73179.0,67926.0,411.99,10°19′55″N  75°24′51″O,,"Turbaquero, -a",Guillermo Torres Cueter,131001,UTC  -5
63,Santander de Quilichao,Cauca,Municipio,Colombia,1543-07-16 00:00:00,1755-07-16 00:00:00,518.0,1.071,95041.0,54362.0,212.16,3°00′30″N  76°29′02″O,,"Quilichagüeño, -a",Lucy Amparo Guzmán Gonzalez,191030,UTC  -5
64,Villa del Rosario,Norte de Santander,Municipio,Colombia,1761-08-05 00:00:00,1793-05-08 00:00:00,228.0,440.0,88433.0,84609.0,306.29,7°50′07″N  72°28′25″O,Cálido,Rosariense,Eugenio Rangel,541030,UTC  -5
65,Sahagún,Córdoba,Municipio,Colombia,1776-06-12 00:00:00,,992.0,71.0,89867.0,48172.0,91.12,8°57′02″N  75°26′44″O,,Sahagunense,Jorge David Pastrana,232540,UTC  -5
66,Yumbo,Valle del Cauca,Municipio,Colombia,1536,1864,227.89,1021.0,122718.0,107757.0,376.29,3°34′40″N  76°29′40″O,Tropical seco  As,"Yumbeño, -a",Jhon Jairo Santamaría Perdomo,760501,UTC  -5
67,Girardot,Cundinamarca   Cundinamarca,Municipio,Colombia,1840,1852-10-09 00:00:00,129.0,326.0,101018.0,95427.0,1022.31,4°18′13″N  74°48′14″O,Tropical monzónico  Am,"Girardoteño, -a",Francisco Lozano,252431,UTC  -5
68,Cereté,Córdoba,Municipio,Colombia,1721-04-21 00:00:00,1923,352.0,12.0,93713.0,54360.0,238.4,8°53′12″N  75°47′28″O,,"Cereteano, -a",El Tumor,230550,UTC  -5
69,Funza,Cundinamarca,Municipio,Colombia,1537-04-20 00:00:00,1810-09-06 00:00:00,70.0,2548.0,103509.0,90622.0,1156.24,4°43′03″N  74°12′34″O,,"Funzano - a Guapuchero, -a",Daniel Felipe Bernal,250020,UTC  -5
70,Sabanalarga,Atlántico,Municipio,Colombia,1744-01-26 00:00:00,1833-06-07 00:00:00,399.0,99.0,100328.0,82757.0,211.55,10°37′48″N  74°55′25″O,Tropical seco  Aw,"Sabanalarguero, -a",Jorge Luis Manotas Manotas,855050,UTC -5
71,Los Patios,Norte de Santander,Municipio,Colombia,1815,1985-12-10 00:00:00,133.0,410.0,76524.0,74272.0,603.27,7°50′03″N  72°30′18″O,,Patiense,Jose Miguel Bonilla Castiblanco,541010,UTC  -5
72,Arauca,Arauca,Municipio,Colombia,1780-12-04 00:00:00,1959,5841.0,125.0,96814.0,83256.0,16.57,7°05′25″N  70°45′42″O,Tropical seco  Aw,"Araucano, -a",Edgar Fernando Tovar,810001,UTC  -5
73,Caucasia,Antioquia,Municipio,Colombia,1886-04-12 00:00:00,1942-10-14 00:00:00,1411.0,150.0,90213.0,76772.0,62.04,7°59′05″N  75°11′53″O,Tropical monzónico  Am,"Caucasiano, -a",Jefferson Sarmiento Ortiz,52410,UTC  -5
74,Tierralta,Córdoba,Municipio,Colombia,1909-11-25 00:00:00,1949-01-14 00:00:00,5025.0,51.0,104817.0,46375.0,16.66,8°10′22″N  76°03′34″O,Tropical seco  Aw,Tierraltense,Daniel Enrique Montero Montes,234501,UTC  -5
75,Candelaria,Valle del Cauca,Municipio,Colombia,1545-02-03 00:00:00,1864-02-03 00:00:00,303.0,975.0,84129.0,23625.0,,3°24′01″N  76°20′52″O,,"Candelareño, -a",Jorge Eliecer Ramirez,763570,UTC  -5
76,Manaure,La Guajira,Municipio,Colombia,1723,1974-10-01 00:00:00,1643.0,3.0,112103.0,48602.0,34.29,11°46′30″N  72°26′40″O,Árido cálido  BWh,"Manaurero, -a",Juan José Robles,441001,UTC  -5
77,Cajicá,Cundinamarca,Municipio,Colombia,1537-03-05 00:00:00,,51.0,2558.0,56875.0,35700.0,1221.21,4°55′00″N  74°01′30″O,,"Cajiqueño, -a",Fabio Ramírez,250240,UTC  -5
78,Acacías (Meta),Meta,Municipio,Colombia,1920-08-07 00:00:00,,1169.0,498.0,72048.0,60918.0,63.8,3°59′20″N  73°45′53″O,Tropical o superhúmedo,"Acacireño, -a",Eduardo Cortes Trujillo,507001,UTC  -5
79,Sabaneta,Antioquia,Municipio,Colombia,1967-01-11 00:00:00,1968-01-01 00:00:00,15.0,1551.0,82375.0,70401.0,3638.2,6°09′03″N  75°36′54″O,,"Sabaneteño, -ña Sabanetense",Santiago Montoya Montoya,55450,UTC  -5
80,Montelíbano,Córdoba,Municipio,Colombia,,,1890.0,49.0,90450.0,,48.72,7°58′16″N  75°25′05″O,,,El hijo del millo,234001,UTC -5
81,Caldas,Antioquia,Municipio,Colombia,1840,1848-09-20 00:00:00,135.0,1750.0,83215.0,62987.0,610.05,6°05′19″N  75°38′10″O,,Caldeño -a,Mauricio Cano Carmona,154660,UTC  -5
82,Copacabana,Antioquia,Municipio,Colombia,1541-09-08 00:00:00,1812,70.0,1454.0,76479.0,62343.0,1051.06,6°20′55″N  75°30′37″O,,Copacabanense Copacabanita Copacabano,Héctor Augusto Monsalve Restrepo,51040,UTC  -5
83,Santa Rosa de Cabal,Risaralda,Municipio,Colombia,1844-10-13 00:00:00,,486.0,1715.0,110850.0,102450.0,129.48,4°52′02″N  75°37′16″O,,"Santarrosano-a, cabalense",José Rodrigo Toro Montes,661020,UTC  -5
84,Cumaribo,Vichada,Municipio,Colombia,,1996-11-22 00:00:00,65193.0,125.0,72691.0,2890.0,0.66,4°26′46″N  69°47′44″O,,Cumaribense,Juan Carlos Cordero,991029,UTC  -5
85,La Estrella,Antioquia,Municipio,Colombia,1685,1833,35.0,1775.0,71545.0,60997.0,,6°09′22″N  75°38′29″O,,Siderense,Juan Sebastian Abad,55460,UTC  -5
86,Calarcá,Quindío,Municipio,Colombia,1886-06-29 00:00:00,,219.23,1573.0,74890.0,58426.0,341.6,4°31′45″N  75°38′27″O,,"Calarqueño, -a",Luis Alberto Balsero Contreras,632001,UTC -5
87,Garzón,Huila,Municipio,Colombia,1783-01-17 00:00:00,1810-09-06 00:00:00,580.0,828.0,96296.0,46371.0,120.38,2°11′46″N  75°37′45″O,,"Garzoneño, -a",Leonardo Valenzuela Ramírez,414020,UTC  -5
88,La Dorada,Caldas,Municipio,Colombia,1886,1923-04-23 00:00:00,574.0,176.0,108600.0,85677.0,136.83,5°27′14″N  74°39′53″O,Tropical monzónico  Am,Doradense,César Arturo Alzate Montes  2020 - 2023,175030,UTC  -5
89,Zona Bananera,Magdalena,Municipio,Colombia,,1999-10-10 00:00:00,443.0,30.0,60524.0,4944.0,,10°45′51″N  74°09′26″O,,"Zonero, -a",Ortega Parejo Efraín Alberto  CDC,478020,UTC  -5
90,Arjona,Bolívar,Municipio,Colombia,1775-03-13 00:00:00,1870,566.0,63.0,73730.0,57700.0,137.93,10°15′18″N  75°20′41″O,,"Arjonero, -a",Isaias Rafael Simancas Castro,131020,UTC  -5
91,El Carmen de Bolívar,Bolívar,Municipio,Colombia,1776-08-06 00:00:00,1813,954.0,197.0,70131.0,50844.0,82.53,9°43′06″N  75°07′21″O,,"Carmero, -a",Carlos Torres Cohen,547070,UTC  -5
92,Espinal,Tolima,Municipio,Colombia,1783-04-03 00:00:00,1808-04-01 00:00:00,231.0,323.0,76056.0,58494.0,349.44,4°08′55″N  74°52′55″O,Tropical monzónico  Am,"Espinaluno, -a",Juan Carlos Tamayo Salas,733520,UTC  -5
93,Corozal,Sucre,Municipio,Colombia,1775-05-15 00:00:00,,203.4,142.0,62409.0,51157.0,268.38,9°19′01″N  75°17′36″O,,"Corozalero, -a",,705030,UTC  -5
94,Granada,Meta,Municipio,Colombia,1940-12-04 00:00:00,1953-11-19 00:00:00,350.0,372.0,130000.0,110000.0,288.11,3°32′50″N  73°42′31″O,,"Granadino, -a",,504001,UTC  -5
95,Fundación,Magdalena,Municipio,Colombia,1906-12-15 00:00:00,1945-06-04 00:00:00,931.7,10.0,57527.0,56175.0,78.23,10°31′02″N  74°11′32″O,,Fundanense,Carlos Alberto Sierra,472020,UTC  -5
96,El Banco,Magdalena,Municipio,Colombia,1536-02-02 00:00:00,1871,816.0,25.0,55530.0,35368.0,68.05,9°00′03″N  73°58′28″O,,"Banqueño, -a",Roy Enrique García Sánchez,473040,UTC  -5
97,La Ceja,Antioquia,Municipio,Colombia,1789-12-07 00:00:00,1855,133.0,2200.0,64889.0,54820.0,421.73,6°01′40″N  75°25′52″O,,"Cejeño,-a",Nelson Carmona Lopera,55010,UTC  -5
98,Marinilla,Antioquia,Municipio,Colombia,1690,1787-11-21 00:00:00,118.0,2120.0,64645.0,44230.0,,6°10′28″N  75°20′20″O,,"Marinillo, -a",José Gildardo Hurtado Alzate,54020,UTC  -5
99,Villamaría,Caldas,Municipio,Colombia,1852-10-19 00:00:00,1878-07-26 00:00:00,461.0,1920.0,56288.0,46479.0,126.52,5°02′44″N  75°30′55″O,,"Villamariano, -a",Andrés Aristizábal,176001,UTC  -5
100,Puerto Asís,Putumayo,Municipio,Colombia,1912-05-03 00:00:00,1967-10-24 00:00:00,2610.0,250.0,73893.0,,28.3,0°30′02″N  76°29′56″O,,asisense,José Fernando Castillo Ruiz,862060,UTC  -5
101,Baranoa,Atlántico,Municipio,Colombia,1543-07-26 00:00:00,1856-10-23 00:00:00,127.0,118.0,62383.0,50652.0,395.76,10°47′44″N  74°55′10″O,,"Baranoero, -a",Roberto Celedón Venegas,82020,UTC  -5
102,Galapa,Atlántico,Municipio,Colombia,1600,1873-02-25 00:00:00,98.0,83.0,48902.0,38730.0,447.92,10°54′01″N  74°53′07″O,,"Galapero, -a",Jose Fernando Vargas Muñoz,82001,UTC  -5
103,Planeta Rica,Córdoba,Municipio,Colombia,1885-02-10 00:00:00,1954-01-12 00:00:00,1188.4,87.0,78309.0,49258.0,,8°24′32″N  75°34′55″O,,"Planetarricense  Planetero, ra",Ruben Tamayo,233040,UTC  -5
104,Codazzi,Cesar,Municipio,Colombia,1702,1958-11-12 00:00:00,1739.0,131.0,58621.0,38727.0,28.31,10°02′12″N  73°14′13″O,,Codacense,Omar Enrique Benjumea Ospino  2020 - 2023,0,UTC  -5
105,Plato,Magdalena,Municipio,Colombia,1626-12-08 00:00:00,,1500.04,20.0,60824.0,47468.0,41.24,9°47′33″N  74°46′57″O,,Plateño -a,Jaime Peña Peñaranda,475030,UTC  -5
106,Saravena,Arauca,Municipio,Colombia,1976,3 de febrero,90.7,223.0,62000.0,50230.0,0.07,6°57′17″N  71°52′36″O,,Saravenense o sarareño,Wilfredo gomez,815010,UTC  -5
107,El Carmen de Viboral,Antioquia,Municipio,Colombia,1714-04-11 00:00:00,1814,448.0,2150.0,59416.0,34187.0,109.54,6°04′55″N  75°20′03″O,,"Carmelitano, -a",Jhon Fredy Quintero Zuluaga,547070,UTC  -5
108,La Plata,Huila,Municipio,Colombia,1651-06-05 00:00:00,,1271.0,1050.0,61026.0,25791.0,52.89,2°23′24″N  75°53′31″O,,Plateño,Luis Carlos Anaya Toro,415060,UTC  -5
109,San Marcos,Sucre,Municipio,Colombia,1706,1912-06-04 00:00:00,534.54,25.0,57071.0,33629.0,68.08,8°39′44″N  75°07′44″O,,"Sanmarquero, Sanmarquera",Anuar Yamil Arabia,704030,UTC  -5
110,Ciénaga de Oro,Córdoba,Municipio,Colombia,1776-12-15 00:00:00,,751.0,13.0,70326.0,25671.0,85.52,8°52′30″N  75°37′16″O,,Orenses,Ana Luz Bedoya Usta,478001,UTC  -5
